,Kingdom,Phylum,Class,Order,Family,Genus
ASV_21,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella
ASV_22,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV_23,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_24,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_25,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_26,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_27,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV_28,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
ASV_29,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium
ASV_30,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_31,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV_32,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_33,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_34,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV_35,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
ASV_36,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
ASV_37,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
ASV_38,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1
ASV_39,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio
ASV_40,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1
ASV_41,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_42,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges
ASV_43,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA
ASV_44,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_45,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_46,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ASV_47,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_48,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV_49,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
ASV_50,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_51,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
ASV_52,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group
ASV_53,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
ASV_54,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus
ASV_55,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_56,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_57,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_58,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_59,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_60,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV_61,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV_62,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_63,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_64,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_65,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV_66,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
ASV_67,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
ASV_68,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium
ASV_69,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV_70,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV_71,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
ASV_72,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoclostridium
ASV_73,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidales_RF16_group,NA
ASV_74,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
ASV_75,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
ASV_76,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
ASV_77,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_78,Bacteria,Firmicutes,Clostridia,Clostridia_vadinBB60_group,NA,NA
ASV_79,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_80,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Mycoplasma
ASV_81,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
ASV_82,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA
ASV_83,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paeniclostridium
ASV_84,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_85,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_86,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV_87,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_88,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
ASV_89,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_90,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
ASV_91,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium
ASV_92,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-003
ASV_93,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV_94,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_95,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_96,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_97,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_98,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
ASV_99,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospirales_fa,Hydrogenoanaerobacterium
ASV_100,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_101,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia-Obesumbacterium
ASV_102,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_103,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Pseudarcobacter
ASV_104,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_105,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
ASV_106,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,NA
ASV_107,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_108,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
ASV_109,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group
ASV_110,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
ASV_111,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rs-E47_termite_group,NA
ASV_112,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus
ASV_113,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV_114,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium
ASV_115,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
ASV_116,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_117,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_118,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella
ASV_119,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_120,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_121,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_122,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema
ASV_123,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter
ASV_124,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
ASV_125,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_126,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_127,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_128,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
ASV_129,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_130,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella
ASV_131,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium
ASV_132,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,NA
ASV_133,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Mucinivorans
ASV_134,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_135,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV_136,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
ASV_137,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
ASV_138,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_139,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium
ASV_140,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium
ASV_141,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_142,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_143,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
ASV_144,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_145,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_146,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Buttiauxella
ASV_147,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_148,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia-Obesumbacterium
ASV_149,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus
ASV_150,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella
ASV_151,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
ASV_152,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_153,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA
ASV_154,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_155,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema
ASV_156,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
ASV_157,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA
ASV_158,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
ASV_159,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
ASV_160,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
ASV_161,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_162,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium
ASV_163,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_164,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
ASV_165,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter
ASV_166,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_167,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA
ASV_168,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_169,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1
ASV_170,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV_171,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
ASV_172,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_173,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
ASV_174,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_175,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_176,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_177,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella
ASV_178,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
ASV_179,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_180,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,NA
ASV_181,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_182,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,NA
ASV_183,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group
ASV_184,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-003
ASV_185,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
ASV_186,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella
ASV_187,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidales_RF16_group,NA
ASV_188,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_189,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA
ASV_190,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter
ASV_191,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_192,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214_group
ASV_193,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK4A136_group
ASV_194,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
ASV_195,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella
ASV_196,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanisphaera
ASV_197,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_198,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
ASV_199,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA
ASV_200,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,NA
ASV_201,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_202,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_203,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group
ASV_204,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
ASV_205,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,NA
ASV_206,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Allobaculum
ASV_207,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_208,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
ASV_209,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
ASV_210,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA
ASV_211,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group
ASV_212,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
ASV_213,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_214,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1
ASV_215,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_216,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_217,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
ASV_218,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
ASV_219,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium
ASV_220,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV_221,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
ASV_222,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella
ASV_223,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_224,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_225,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
ASV_226,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
ASV_227,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA
ASV_228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
ASV_229,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
ASV_230,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
ASV_231,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_232,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
ASV_233,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_234,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
ASV_235,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA
ASV_236,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_FCS020_group
ASV_237,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_238,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_NK3B31_group
ASV_239,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
ASV_240,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA
ASV_241,Bacteria,Firmicutes,Clostridia,Clostridia_vadinBB60_group,NA,NA
ASV_242,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
ASV_243,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
ASV_244,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_245,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA
ASV_246,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,NA
ASV_247,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
ASV_248,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,NA
ASV_249,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
ASV_250,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV_251,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_252,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
ASV_253,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,NA
ASV_254,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA
ASV_255,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK4A136_group
ASV_256,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_AC2044_group
ASV_257,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_258,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
